id_publi	date_publi	nb_authors
494	2003	68
495	2003	68
496	2002	54
497	2002	4
498	2001	5
499	2001	4
500	2001	19
501	2001	5
502	2000	4
503	2000	4
504	2000	4
505	2000	4
506	2000	20
507	2000	3
508	2000	4
509	2000	3
510	2000	4
511	1999	11
512	1999	3
513	1998	4
514	1998	6
515	1998	3
516	1998	5
517	1998	2
518	1998	3
519	1998	20
520	1998	3
521	1998	4
522	1997	4
523	1997	4
524	1997	3
525	1997	4
526	1997	5
527	1997	5
528	1996	4
529	1996	4
530	1996	2
531	1996	3
532	1995	4
533	1995	2
534	1993	2
535	2011	166
536	2011	200
537	2011	195
538	2011	204
539	2011	200
540	2011	230
541	2011	165
542	2011	208
543	2011	205
544	2011	204
545	2011	202
546	2011	207
547	2011	205
548	2011	205
549	2011	210
550	2011	200
551	2011	238
552	2011	273
553	2009	208
554	2011	248
555	2011	216
556	2008	46
557	2007	27
558	2005	25
559	2011	147
560	2011	160
561	1990	44
562	1989	44
563	1990	2
564	1990	2
565	1989	2
566	1998	4
567	1997	5
568	1995	4
569	1993	2
570	1992	2
571	1991	5
572	2011	200
573	2011	228
574	2011	216
575	2010	95
576	2010	500
577	2005	51
578	2005	50
579	2003	26
580	2010	124
581	2010	119
582	2010	143
583	2000	55
584	1999	48
585	1998	6
586	1997	40
587	1996	6
588	1994	6
589	2010	20
590	2010	32
591	2010	28
592	2009	3
593	2009	5
594	2007	6
595	2007	27
596	2006	5
597	2006	15
598	2005	7
599	2004	8
600	2003	11
601	2003	15
602	2003	8
603	2003	10
604	2003	12
605	2003	13
606	2002	12
607	2002	14
608	2002	15
609	2002	12
610	2002	11
611	2002	12
612	2002	12
613	2001	15
614	2001	9
615	2001	11
616	2001	10
617	2001	15
618	2001	9
619	2001	11
620	2001	15
621	2000	9
622	2006	13
623	2003	23
624	2002	5
625	2002	22
626	2002	20
627	2000	29
628	2000	12
629	2000	16
630	1999	13
631	1999	16
632	1999	7
633	1999	7
634	1999	10
635	1999	6
636	1998	12
637	1998	13
638	1998	9
639	1998	4
640	1998	7
641	1998	13
642	1998	15
643	1997	8
644	1997	6
645	1997	7
646	1996	13
647	1996	22
648	1996	16
649	1996	8
650	1996	7
651	1996	7
652	1996	8
653	1994	33
654	1994	3
655	1993	3
656	1992	4
657	2008	10
658	2008	10
659	2011	9
660	2005	16
661	2005	19
662	2004	15
663	2001	6
664	2000	7
665	2002	27
666	2009	8
667	2009	156
668	2008	32
669	2008	13
670	2008	7
671	2007	7
672	2005	24
673	2004	13
674	2003	6
675	2002	30
676	2009	12
677	2009	7
678	2009	9
679	2009	59
680	2009	57
681	2009	43
682	2008	19
683	2007	19
684	2006	11
685	2006	9
686	2005	16
687	2005	16
688	2005	10
689	2004	8
690	2001	3
691	1999	3
692	1996	2
693	1984	2
694	2002	14
695	2007	8
696	2004	8
697	2002	17
698	2001	4
699	2004	3
700	2005	6
701	2004	6
702	2004	5
703	2004	6
704	2011	9
705	2011	3
706	2011	8
707	2011	20
708	2011	4
709	2011	13
710	2011	5
711	2011	5
712	2011	5
713	2011	5
714	2011	5
715	2011	5
716	2010	10
717	2010	6
718	2010	12
719	2010	20
720	2010	12
721	2010	3
722	2010	6
723	2010	6
724	2010	7
725	2010	4
726	2010	4
727	2010	4
728	2010	4
729	2010	4
730	2009	5
731	2009	13
732	2009	21
733	2009	3
734	2009	6
735	2009	4
736	2009	11
737	2009	3
738	2009	18
739	2009	4
740	2009	4
741	2009	4
742	2009	19
743	2009	4
744	2009	18
745	2009	17
746	2009	4
747	2009	15
748	2009	13
749	2009	4
750	2009	4
751	2009	4
752	2008	7
753	2008	11
754	2008	12
755	2008	3
756	2008	12
757	2008	3
758	2008	54
759	2008	11
